Date,Record ATS,Record ATS (Spread is 5 or less) ,"Record ATS (No HOU, No DET, No OKC, No ORL) ",Record O/U,Record O/U (Spread is 5 or less),"Record O/U (No HOU, No DET, No OKC, No ORL)",,Placed Bets,W/L/P
4/18/21,4W4L,3W3L,4W2L,,,,,$20 to win $19 on MIA/CHI over 204,W
4/19/21,6W3L,4W2L,5W1L,,,,,$20 to win $18 on OKC/PHI over 219,L
4/20/21,3W2L,3W1L,2W1L,1W4L,1W3L,1W2L,,,
4/21/21,8W3L1P,6W2L1P,6W2L1P,5W7L,5W4L,5W4L,,,
4/22/21,3W3L,2W1L,3W1L,1W4L,1W2L,1W3L,,,
4/23/21,3W4L,1W3L,2W3L,6W1L,4W0L,4W1L,,,
4/24/21,4W4L,2W3L,2W3L,6W2L,4W1L,4W1L,,,
4/25/21,5W2L,2W0L,5W1L,3W4L,1W1L,3W3L,,,
4/26/21,,,,,,,,,
Total,36W25L1P,23W15L1P,29W14L1P,22W22L,16W11L,18W14L,,,
Profit($100 bet),(+)$740,(+)$570,(+)$1210,(-)$220,(+)$340,(+)$220,,(-)$1,
