Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,PF,21,MIA,28,408,15.1,0.599,0,0.541,10.5,19.8,15.4,6.8,1.4,3.8,16.1,19.7,0.3,0.6,0.9,0.101,-2.8,-0.2,-3,-0.1
Steven Adams,C,27,NO,27,760,15.9,0.592,0.006,0.397,16.9,18,17.5,10.1,1.7,2,20.1,12.8,1.2,0.5,1.7,0.109,-0.1,-1,-1.1,0.2
Bam Adebayo,C,23,MIA,26,873,22.7,0.641,0.015,0.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,0.196,2.9,2,4.9,1.5
Ty-Shon Alexander,SG,22,PHX,3,8,-11.9,0,0.333,0,0,13.6,6.9,14.7,0,0,0,16.8,-0.1,0,-0.1,-0.327,-16.4,-4.8,-21.2,0
Nickeil Alexander-Walker,SG,22,NO,23,441,12,0.502,0.463,0.17,1.3,14.1,7.7,14.9,2.8,1.9,12.9,22.4,-0.2,0.4,0.2,0.025,-2.6,0.1,-2.5,-0.1
Grayson Allen,SG,25,MEM,19,454,14,0.63,0.721,0.264,1.7,12,6.7,11.5,2,0.6,11.3,16.5,0.7,0.4,1.1,0.113,0.4,0.1,0.5,0.3
Jarrett Allen,C,22,CLE,16,414,23.5,0.675,0.032,0.568,11.4,23,17,9.7,0.7,5.9,11.8,18.4,1.3,0.4,1.7,0.197,3.2,0.2,3.4,0.6
Al-Farouq Aminu,PF,30,CHI,2,16,7.5,0.798,1,2,6.2,20.3,13,16.7,0,0,51.5,10.3,0,0,0,-0.034,-3.4,0.1,-3.3,0
Kyle Anderson,PF,27,MEM,24,675,17.8,0.579,0.401,0.249,3.5,21.5,12.2,19.4,1.9,2.5,10.7,20.1,1.1,0.8,1.9,0.134,1.9,1.1,2.9,0.8
Giannis Antetokounmpo,PF,26,MIL,27,906,28.3,0.62,0.216,0.54,5.6,29.8,18,27.5,1.8,3.5,13.9,33,2.7,1.5,4.3,0.226,5.2,2,7.2,2.1
Kostas Antetokounmpo,PF,23,LAL,1,8,-9.1,0,0,0,0,54.1,28,0,0,21.3,50,21.7,-0.1,0,-0.1,-0.407,-19.3,2,-17.3,0
Thanasis Antetokounmpo,SF,28,MIL,18,149,10.3,0.688,0.269,0.269,9.5,12.5,11,12.2,1.6,1.8,34,12.4,0.1,0.2,0.2,0.079,-3.3,0.1,-3.2,0
Carmelo Anthony,PF,36,POR,27,683,13.8,0.515,0.386,0.241,2.2,12.9,7.3,7.7,1.5,2.9,6.7,23.5,0.3,0.4,0.7,0.047,-1.2,-1.8,-3.1,-0.2
Cole Anthony,PG,20,ORL,25,667,10.3,0.469,0.309,0.204,3,14.7,8.6,21.4,1.2,1.5,14.8,22,-0.6,0.6,0,0,-3,-1.1,-4.1,-0.4
OG Anunoby,SF,23,TOR,18,619,14.7,0.632,0.548,0.258,5,14.2,9.5,6.5,2.8,1.6,13,16.4,0.8,0.7,1.5,0.118,0.3,0.9,1.1,0.5
Ryan Arcidiacono,PG,26,CHI,11,107,11.2,0.534,0.667,0.208,1.1,21.4,11.4,20.1,1.3,0,7.1,11.2,0.2,0.1,0.3,0.119,-2.5,0.9,-1.6,0
DJ Augustin,PG,33,HOU,27,480,10.8,0.514,0.642,0.277,2.5,4.7,3.6,20,1.3,0.2,12.5,15.3,0.6,0.3,0.8,0.083,-0.5,-1.6,-2.2,0
Deandre Ayton,C,22,PHX,27,866,17.7,0.617,0.058,0.219,13,28.9,21.1,8.4,0.5,2.8,15.8,18.8,1.4,1.3,2.7,0.148,-0.5,-0.3,-0.8,0.2
Udoka Azubuike,C,21,UTAH,12,49,10.6,0.622,0,0.857,9.1,18.6,14.1,0,1,6.5,23.7,11.1,0,0.1,0.1,0.114,-5.5,1.2,-4.3,0
Dwayne Bacon,SG,25,ORL,29,721,10.7,0.513,0.297,0.197,1.7,11.8,6.5,6.4,1.5,0.4,6.2,19.1,0.1,0.6,0.7,0.046,-2.9,-0.9,-3.8,-0.3
Marvin Bagley III,PF,21,SAC,25,623,13.9,0.53,0.26,0.268,9,23.4,16.2,5.3,0.9,1.6,11,23.1,0,0.2,0.3,0.02,-1.8,-2.8,-4.6,-0.4
LaMelo Ball,PG,19,CHA,28,776,18.2,0.542,0.414,0.198,5.8,18.2,11.9,33.8,2.7,1.3,16.5,24.8,0.8,1,1.8,0.113,1.8,1,2.8,0.9
Lonzo Ball,PG,23,NO,25,772,14.2,0.554,0.622,0.089,2.3,13.2,7.8,21.5,2,1.6,13.9,20.2,0.8,0.5,1.2,0.077,0.3,-0.4,-0.2,0.4
Mo Bamba,C,22,ORL,13,113,23.4,0.56,0.278,0.093,14.1,31.6,22.5,6.3,0.9,8,6.6,22.7,0.2,0.2,0.4,0.166,2,0.3,2.3,0.1
Desmond Bane,SG,22,MEM,20,456,12.6,0.631,0.548,0.11,2.1,10.9,6.4,9.8,1.4,0.6,12.4,17.3,0.5,0.3,0.8,0.08,-0.6,-0.9,-1.5,0.1
Harrison Barnes,PF,28,SAC,27,948,15.7,0.615,0.392,0.389,3.3,16.2,9.7,13.2,1.1,0.4,9.9,17.3,2,0.1,2,0.102,1.6,-1.5,0.1,0.5
RJ Barrett,SG,20,NY,30,1012,13.1,0.504,0.233,0.275,4.1,15,9.6,14.7,1.1,0.6,10.4,23.9,0,1.2,1.2,0.058,-1.6,-0.6,-2.2,0
Will Barton,SF,30,DEN,25,744,11.6,0.54,0.396,0.176,1.8,12.4,7.1,14.7,1.3,1.4,12.4,17.9,0.4,0.5,0.9,0.06,-0.9,-1.3,-2.2,0
Keita Bates-Diop,SF,25,SA,8,27,0.3,0.215,0.444,0.667,3.7,7.9,5.8,8.6,1.8,0,0,18.5,-0.1,0,-0.1,-0.151,-8.2,-4.4,-12.5,-0.1
Nicolas Batum,SF,32,LAC,27,806,14.8,0.67,0.683,0.164,3.4,14.6,9.2,10.3,2.3,1.1,8.8,11.8,1.8,1,2.7,0.163,1.5,0.5,2,0.8
Aron Baynes,C,34,TOR,25,470,8.4,0.463,0.37,0.062,8.4,23.9,15.9,7.5,0.7,1.7,11.8,15.4,-0.1,0.4,0.3,0.031,-4.3,-1.4,-5.7,-0.4
Kent Bazemore,SF,31,GS,27,448,14.7,0.647,0.462,0.227,3.1,16.3,9.8,13.6,2.3,3.1,16.2,16.4,0.5,0.7,1.2,0.133,-0.8,2.2,1.5,0.4
Darius Bazley,PF,20,OKC,28,872,9.6,0.489,0.455,0.186,1.8,22.7,12.4,8.7,0.7,2,12.3,19.8,-1.1,1,-0.1,-0.003,-3.1,-0.9,-4,-0.4
Bradley Beal,SG,27,WSH,24,846,24.8,0.591,0.308,0.348,3.9,11.7,7.7,25,1.7,1.2,10.1,36.2,2,0.5,2.5,0.141,6.3,-1.4,4.9,1.5
Malik Beasley,SG,24,MIN,29,951,16.7,0.581,0.51,0.142,2.8,13.7,8,12.7,1.2,0.4,8.4,25.2,1.2,0.4,1.6,0.081,2.5,-2.1,0.5,0.6
Jordan Bell,C,26,WSH,3,50,8,0.333,0.133,0,10.1,23.9,16.8,13.3,0.9,5.2,16.7,14.9,-0.1,0.1,0,-0.037,-5.1,-1.2,-6.3,-0.1
DeAndre' Bembry,SF,26,TOR,19,261,13.2,0.671,0.259,0.204,3.3,9.6,6.4,16.1,2.2,2,16.9,11.6,0.4,0.2,0.7,0.123,-1,1.2,0.2,0.1
Davis Bertans,PF,28,WSH,23,593,11.5,0.589,0.891,0.257,1.7,11.3,6.4,5.4,1.3,1,5.5,16.6,0.7,0.3,1,0.082,0.2,-1.5,-1.3,0.1
Patrick Beverley,PG,32,LAC,20,483,13.7,0.603,0.637,0.234,4.8,14.5,9.8,11.7,2,2.8,9.9,13.9,0.9,0.6,1.5,0.151,-0.1,0.9,0.8,0.3
Saddiq Bey,SF,21,DET,26,529,13,0.593,0.665,0.253,2.2,18.6,10.1,7.4,1.3,0.2,8.6,18.1,0.6,0.4,1,0.092,0.6,-0.7,-0.1,0.3
Tyler Bey,SF,22,DAL,4,13,14,0.444,0,0.8,16.8,8.5,12.7,0,0,7.3,0,22.8,0,0,0,0.057,-1.1,-3.4,-4.5,0
Khem Birch,C,28,TOR,29,631,16.1,0.577,0.086,0.443,12.6,15.9,14.2,7.8,1.5,3,10.2,12.6,1.2,0.7,1.9,0.147,-0.8,-0.4,-1.2,0.1
Goga Bitadze,C,21,IND,13,124,18.3,0.635,0.316,0.316,8.1,17.5,12.9,3.5,1.2,9.8,8.5,16.5,0.2,0.2,0.4,0.173,-2.1,2.2,0.1,0.1
Bismack Biyombo,C,28,CHA,26,585,12.6,0.569,0.008,0.395,10.2,17.4,13.8,8,0.5,5.5,14.1,11.8,0.6,0.6,1.2,0.099,-2.4,-0.5,-2.9,-0.1
Nemanja Bjelica,PF,32,MIA,13,211,12.6,0.567,0.388,0.418,6.2,19.4,12.7,18,0,0.8,16.8,19.3,0.2,0,0.2,0.049,-1.4,-1.9,-3.4,-0.1
Eric Bledsoe,SG,31,NO,27,780,12.6,0.556,0.518,0.19,1.8,11.8,6.8,17.7,1.1,0.9,13.2,19.4,0.7,0.2,0.9,0.055,-0.3,-1.7,-2.1,0
Keljin Blevins,SF,25,POR,8,38,-6,0.111,0.333,0,0,0,0,12.7,2.6,0,25,13.5,-0.2,0,-0.2,-0.238,-12.3,-3.3,-15.6,-0.1
Bogdan Bogdanovic,SG,28,ATL,9,213,9.9,0.543,0.744,0.115,1,16,8.6,13.2,0.9,0.4,11.8,18.6,0.1,0.1,0.2,0.045,-0.8,-1.3,-2.1,0
Bojan Bogdanovic,SF,31,UTAH,29,891,12.3,0.567,0.544,0.251,1.7,11.5,6.8,9.9,0.7,0.1,10.1,20.9,1,0.9,2,0.105,-0.5,-1.1,-1.7,0.1
Bol Bol,PF,21,DEN,12,65,4.7,0.504,0.375,0.125,0,15.7,7.8,4,0.8,5.9,22.9,14.6,-0.1,0.1,-0.1,-0.041,-6.1,-1,-7.2,-0.1
Isaac Bonga,SF,21,WSH,17,230,5,0.523,0.611,0.083,3.5,14.2,8.6,4.9,0.8,1.5,15.8,8,0,0.1,0.1,0.021,-4.6,-1.6,-6.2,-0.2
Devin Booker,SG,24,PHX,23,810,17.2,0.593,0.317,0.294,0.6,10.8,5.8,20.9,1.2,0.8,14.6,30.7,0.6,0.8,1.4,0.082,0.2,-1.1,-0.9,0.2
Chris Boucher,C,28,TOR,28,654,23.4,0.65,0.405,0.365,9,23.5,16,7,1,9.2,6.1,20.3,2.1,1,3.1,0.226,3.5,0.3,3.8,1
Brian Bowen,SF,22,IND,1,5,17.8,0.615,0,0.5,0,21.7,11,0,0,0,0,21.2,0,0,0,0.16,0.5,-2.4,-1.8,0
Avery Bradley,SG,30,HOU,10,211,10.4,0.607,0.576,0.136,1.1,8.1,4.8,10.3,1.6,0.5,11.4,16.7,0.1,0.2,0.3,0.071,-2.7,-0.6,-3.2,-0.1
Tony Bradley,C,23,OKC,10,117,20.3,0.537,0.028,0.139,20.4,26.3,23.4,7.3,1.2,4.6,2.6,14.1,0.3,0.2,0.5,0.207,1.9,-0.6,1.3,0.1
Jarrell Brantley,PF,24,UTAH,8,22,10.3,0.563,0.75,0,5,13.8,9.6,0,2.2,3.6,11.1,17.5,0,0,0,0.097,-2.3,0.9,-1.5,0
Mikal Bridges,SF,24,PHX,27,898,16.3,0.634,0.489,0.243,4.7,12.9,8.9,9.1,0.9,2.6,6.2,16,2,1,3.1,0.164,2.1,0.5,2.5,1
Miles Bridges,PF,22,CHA,28,747,12,0.581,0.442,0.147,5.2,18.1,11.6,10.2,1.3,3,17,16.4,0.3,0.8,1.1,0.07,-1.8,-0.3,-2.1,0
Malcolm Brogdon,PG,28,IND,29,1045,18.3,0.548,0.365,0.159,2.4,12.3,7.4,28.1,1.7,0.7,9.5,26.2,1.5,1,2.5,0.115,3,-1.1,2,1
Dillon Brooks,SF,25,MEM,24,700,10.3,0.485,0.389,0.135,3.8,8.6,6.1,13.2,2.2,1.2,12.3,27.1,-0.9,0.6,-0.3,-0.022,-3.5,-2.1,-5.6,-0.6
Bruce Brown,PG,24,BKN,26,498,12.8,0.59,0.172,0.227,7.9,17.2,12.8,7.1,1.6,1.7,13.5,14.1,0.5,0.4,0.9,0.091,-2.1,-0.8,-2.8,-0.1
Jaylen Brown,SG,24,BOS,26,868,22.3,0.598,0.303,0.246,3.9,14.9,9.2,19.5,1.7,1.6,11.6,31.4,1.7,0.9,2.6,0.146,4.9,-0.5,4.4,1.4
Moses Brown,C,21,OKC,7,31,33.5,0.65,0,1.4,13.6,36.5,25.2,16.4,1.5,11.3,5.8,24,0.1,0.1,0.2,0.34,5.3,3.8,9.1,0.1
Sterling Brown,SG,25,HOU,26,556,12.9,0.59,0.613,0.063,3.8,15.6,9.6,12,2.1,1.1,9.4,13.9,0.7,0.8,1.5,0.127,-1,1,0,0.3
Troy Brown Jr.,SF,21,CHI,13,205,5.4,0.461,0.581,0.194,3.9,19.6,11.5,8.5,0.5,0.8,15.1,16,-0.2,0.1,-0.1,-0.034,-4.1,-2.3,-6.3,-0.2
Jalen Brunson,PG,24,DAL,24,578,16.4,0.626,0.34,0.27,0.9,13.6,7.2,22.6,0.8,0,11.5,19.2,1.3,0.2,1.5,0.121,1.2,-1.8,-0.6,0.2
Thomas Bryant,C,23,WSH,10,271,18.8,0.704,0.231,0.264,6.7,17.2,11.8,8.7,0.7,2.6,9.8,17.2,0.7,0.2,0.9,0.157,2.1,-1.7,0.4,0.2
